0xffffff80086e1f7c: sub	sp, sp, #0xd0
0xffffff80086e1f80: adrp	x9, #0xffffff80096d3000
0xffffff80086e1f84: ldr	x9, [x9, #0xa48]
0xffffff80086e1f88: stp	x29, x30, [sp, #0xc0]
0xffffff80086e1f8c: add	x29, sp, #0xc0
0xffffff80086e1f90: stp	x24, x23, [sp, #0x90]
0xffffff80086e1f94: stp	x22, x21, [sp, #0xa0]
0xffffff80086e1f98: stp	x20, x19, [sp, #0xb0]
0xffffff80086e1f9c: stur	x9, [x29, #-0x38]
0xffffff80086e1fa0: ldr	x19, [x0, #0xd0]
0xffffff80086e1fa4: mov	w9, #0x8001
0xffffff80086e1fa8: mov	w8, w1
0xffffff80086e1fac: movk	w9, #0x4004, lsl #16
0xffffff80086e1fb0: cmp	w8, w9
0xffffff80086e1fb4: mov	x20, x2
0xffffff80086e1fb8: b.eq	#0xffffff80086e202c
0xffffff80086e1fbc: mov	w9, #0x8000
0xffffff80086e1fc0: movk	w9, #0xc004, lsl #16
0xffffff80086e1fc4: cmp	w8, w9
0xffffff80086e1fc8: b.ne	#0xffffff80086e20ac
0xffffff80086e1fcc: mrs	x21, sp_el0
0xffffff80086e1fd0: ldr	x8, [x21, #8]
0xffffff80086e1fd4: mov	x9, x20
0xffffff80086e1fd8: adds	x9, x9, #4
0xffffff80086e1fdc: ccmp	x9, x8, #2, lo
0xffffff80086e1fe0: cset	x10, ls
0xffffff80086e1fe4: cbz	x10, #0xffffff80086e2d58
0xffffff80086e1fe8: add	x0, sp, #0x38
0xffffff80086e1fec: mov	w1, #4
0xffffff80086e1ff0: mov	w2, wzr
0xffffff80086e1ff4: bl	#0xffffff80082007a8
0xffffff80086e1ff8: add	x0, sp, #0x38
0xffffff80086e1ffc: mov	w2, #4
0xffffff80086e2000: mov	x1, x20
0xffffff80086e2004: bl	#0xffffff80083a33c0
0xffffff80086e2008: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e200c: ldrh	w8, [sp, #0x38]
0xffffff80086e2010: cmp	w8, #0xb
0xffffff80086e2014: b.ne	#0xffffff80086e21d4
0xffffff80086e2018: ldrh	w8, [sp, #0x3a]
0xffffff80086e201c: mov	w9, #0xb
0xffffff80086e2020: cmp	w8, #0xb
0xffffff80086e2024: csel	w8, w8, w9, lo
0xffffff80086e2028: b	#0xffffff80086e21dc
0xffffff80086e202c: mrs	x8, sp_el0
0xffffff80086e2030: ldr	x8, [x8, #8]
0xffffff80086e2034: mov	x9, x20
0xffffff80086e2038: adds	x9, x9, #4
0xffffff80086e203c: ccmp	x9, x8, #2, lo
0xffffff80086e2040: cset	x10, ls
0xffffff80086e2044: cbz	x10, #0xffffff80086e2d58
0xffffff80086e2048: add	x0, sp, #0x38
0xffffff80086e204c: mov	w1, #4
0xffffff80086e2050: mov	w2, wzr
0xffffff80086e2054: bl	#0xffffff80082007a8
0xffffff80086e2058: add	x0, sp, #0x38
0xffffff80086e205c: mov	w2, #4
0xffffff80086e2060: mov	x1, x20
0xffffff80086e2064: bl	#0xffffff80083a33c0
0xffffff80086e2068: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e206c: mov	x8, xzr
0xffffff80086e2070: add	x9, x19, #0xc8
0xffffff80086e2074: mov	w10, #1
0xffffff80086e2078: nop	
0xffffff80086e207c: prfm	pstl1strm, [x9]
0xffffff80086e2080: ldxr	w12, [x9]
0xffffff80086e2084: eor	w11, w12, w8
0xffffff80086e2088: cbnz	w11, #0xffffff80086e209c
0xffffff80086e208c: stlxr	w11, w10, [x9]
0xffffff80086e2090: cbnz	w11, #0xffffff80086e2080
0xffffff80086e2094: dmb	ish
0xffffff80086e2098: mov	w12, w8
0xffffff80086e209c: cbz	w12, #0xffffff80086e2278
0xffffff80086e20a0: mov	w0, #-0x16
